Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Year
118;DeMarcus Cousins;C;31;MIL;17;5;16.9;3.2;6.9;0.466;0.8;2.8;0.271;2.5;4.1;0.6;0.521;1.8;2.2;0.816;1.4;4.4;5.8;1.1;0.9;0.5;0.9;2.7;9.1;2021-2022
118;DeMarcus Cousins;C;31;DEN;31;2;13.9;3.0;6.6;0.456;0.8;2.4;0.324;2.3;4.3;0.53;0.515;2.1;2.8;0.736;1.6;3.9;5.5;1.7;0.6;0.4;2.2;3.0;8.9;2021-2022
119;Robert Covington;PF-SF;31;TOT;71;42;27.3;2.9;7.0;0.42;1.8;4.8;0.378;1.1;2.2;0.509;0.548;0.8;1.0;0.841;0.8;4.7;5.5;1.3;1.5;1.3;1.1;2.7;8.5;2021-2022
119;Robert Covington;PF;31;POR;48;40;29.8;2.7;7.0;0.381;1.6;4.8;0.343;1.0;2.2;0.462;0.499;0.6;0.8;0.833;0.9;4.9;5.7;1.4;1.5;1.3;1.2;2.8;7.6;2021-2022
119;Robert Covington;SF;31;LAC;23;2;22.1;3.5;7.0;0.5;2.1;4.7;0.45;1.4;2.3;0.604;0.651;1.2;1.4;0.848;0.8;4.3;5.1;1.0;1.3;1.2;0.7;2.5;10.4;2021-2022
120;Torrey Craig;SF;31;TOT;78;16;20.5;2.6;5.7;0.454;1.0;3.0;0.329;1.6;2.7;0.594;0.541;0.5;0.7;0.75;1.1;2.9;4.0;1.2;0.6;0.5;0.9;1.9;6.6;2021-2022
120;Torrey Craig;SF;31;IND;51;14;20.3;2.5;5.5;0.456;0.9;2.7;0.333;1.6;2.8;0.573;0.537;0.5;0.7;0.771;1.2;2.7;3.8;1.1;0.5;0.4;0.8;1.9;6.5;2021-2022
120;Torrey Craig;SF;31;PHO;27;2;20.8;2.7;5.9;0.45;1.1;3.6;0.323;1.5;2.4;0.641;0.547;0.4;0.6;0.706;1.0;3.3;4.3;1.2;0.8;0.6;1.0;2.1;6.9;2021-2022
121;Jae Crowder;PF;31;PHO;67;67;28.1;3.2;8.1;0.399;1.9;5.4;0.348;1.3;2.7;0.503;0.516;1.1;1.3;0.789;0.4;4.8;5.3;1.9;1.4;0.4;0.8;2.6;9.4;2021-2022
122;Jarrett Culver;SG;22;MEM;37;0;9.1;1.4;3.6;0.378;0.3;1.3;0.255;1.1;2.4;0.443;0.422;0.4;0.9;0.471;0.4;0.9;1.3;0.9;0.5;0.1;0.5;1.1;3.5;2021-2022
123;Jarron Cumberland;SG;24;POR;3;0;4.0;0.3;0.7;0.5;0.0;0.3;0.0;0.3;0.3;1.0;0.5;0.0;0.0;0.0;0.3;0.7;1.0;0.3;0.0;0.0;0.0;0.7;0.7;2021-2022
124;Cade Cunningham;PG;20;DET;64;64;32.6;6.7;16.1;0.416;1.8;5.7;0.314;4.9;10.4;0.472;0.471;2.2;2.6;0.845;0.9;4.6;5.5;5.6;1.2;0.7;3.7;3.1;17.4;2021-2022
125;Seth Curry;SG;31;TOT;64;64;33.4;5.6;11.5;0.487;2.5;5.8;0.422;3.2;5.7;0.553;0.594;1.3;1.5;0.872;0.3;2.8;3.1;3.6;0.8;0.2;1.7;2.3;15.0;2021-2022
125;Seth Curry;SG;31;PHI;45;45;34.8;5.7;11.7;0.485;2.2;5.6;0.4;3.5;6.2;0.561;0.58;1.4;1.6;0.877;0.4;3.0;3.4;4.0;0.8;0.2;1.9;2.2;15.0;2021-2022
125;Seth Curry;SG;31;BRK;19;19;29.9;5.5;11.1;0.493;3.1;6.5;0.468;2.4;4.6;0.529;0.63;0.9;1.1;0.857;0.2;2.4;2.6;2.6;0.9;0.2;1.3;2.5;14.9;2021-2022
126;Stephen Curry;PG;33;GSW;64;64;34.5;8.4;19.1;0.437;4.5;11.7;0.38;3.9;7.4;0.527;0.554;4.3;4.7;0.923;0.5;4.7;5.2;6.3;1.3;0.4;3.2;2.0;25.5;2021-2022
127;Anthony Davis;C;28;LAL;40;40;35.1;9.3;17.4;0.532;0.3;1.8;0.186;8.9;15.6;0.571;0.542;4.4;6.1;0.713;2.7;7.2;9.9;3.1;1.2;2.3;2.1;2.4;23.2;2021-2022
128;Ed Davis;C;32;CLE;31;3;6.5;0.4;0.5;0.688;0.0;0.0;0.0;0.4;0.5;0.688;0.688;0.2;0.5;0.429;0.5;1.6;2.1;0.2;0.1;0.3;0.2;1.1;0.9;2021-2022
129;Terence Davis;SG;24;SAC;30;11;17.9;3.8;8.9;0.423;1.6;5.0;0.329;2.1;3.9;0.542;0.515;1.2;1.5;0.818;0.4;2.8;3.1;1.3;0.8;0.4;1.1;2.3;10.4;2021-2022
130;Gabriel Deck;PF;26;OKC;7;0;8.0;1.1;2.0;0.571;0.3;0.6;0.5;0.9;1.4;0.6;0.643;0.0;0.0;0.0;0.1;0.7;0.9;0.7;0.1;0.0;0.3;0.3;2.6;2021-2022
131;Dewayne Dedmon;C;32;MIA;67;15;15.9;2.4;4.3;0.566;0.3;0.7;0.404;2.2;3.6;0.597;0.598;1.1;1.5;0.75;1.6;4.2;5.8;0.7;0.4;0.6;1.0;2.6;6.3;2021-2022
132;Sam Dekker;PF;27;TOR;1;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2021-2022
133;Javin DeLaurier;C;23;MIL;1;0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;2021-2022
134;DeMar DeRozan;PF;32;CHI;76;76;36.1;10.2;20.2;0.504;0.7;1.9;0.352;9.5;18.3;0.52;0.521;6.8;7.8;0.877;0.7;4.4;5.2;4.9;0.9;0.3;2.4;2.3;27.9;2021-2022
135;Mamadi Diakite;PF;25;OKC;13;3;14.5;1.9;3.6;0.532;0.0;0.4;0.0;1.9;3.2;0.595;0.532;0.5;0.8;0.545;1.3;3.2;4.5;0.2;0.4;0.7;0.5;2.5;4.3;2021-2022
136;Cheick Diallo;C;25;DET;3;0;10.3;1.0;2.7;0.375;0.0;0.0;0.0;1.0;2.7;0.375;0.375;1.7;2.0;0.833;1.3;2.7;4.0;0.0;0.3;0.0;0.3;2.0;3.7;2021-2022
137;Hamidou Diallo;SG;23;DET;58;29;21.9;4.5;9.1;0.496;0.4;1.6;0.247;4.1;7.5;0.55;0.518;1.6;2.4;0.65;1.2;3.6;4.8;1.3;1.2;0.3;1.0;2.5;11.0;2021-2022
138;Gorgui Dieng;C;32;ATL;44;3;8.4;1.2;2.5;0.473;0.7;1.5;0.426;0.5;1.0;0.545;0.603;0.4;0.6;0.731;0.7;2.0;2.8;0.8;0.3;0.3;0.5;1.2;3.5;2021-2022
139;Spencer Dinwiddie;PG;28;TOT;67;51;29.6;4.6;11.0;0.416;1.7;4.9;0.339;2.9;6.0;0.479;0.493;2.9;3.8;0.774;0.7;3.5;4.2;5.2;0.7;0.2;1.6;2.2;13.7;2021-2022
139;Spencer Dinwiddie;PG;28;WAS;44;44;30.2;4.2;11.2;0.376;1.6;5.1;0.31;2.6;6.0;0.432;0.447;2.6;3.3;0.811;0.8;3.9;4.7;5.8;0.6;0.2;1.7;2.4;12.6;2021-2022
139;Spencer Dinwiddie;PG;28;DAL;23;7;28.3;5.3;10.6;0.498;1.8;4.5;0.404;3.4;6.0;0.568;0.584;3.4;4.7;0.725;0.4;2.7;3.1;3.9;0.7;0.3;1.3;1.9;15.8;2021-2022
140;Donte DiVincenzo;SG;25;TOT;42;1;24.0;2.8;8.0;0.351;1.8;5.2;0.339;1.0;2.8;0.373;0.461;1.7;2.0;0.843;1.0;3.1;4.0;2.8;1.1;0.2;1.7;1.6;9.0;2021-2022
140;Donte DiVincenzo;SG;25;MIL;17;0;20.1;2.3;6.9;0.331;1.2;4.4;0.284;1.1;2.6;0.409;0.419;1.4;1.6;0.852;1.1;2.5;3.5;1.7;0.6;0.2;1.6;1.5;7.2;2021-2022
140;Donte DiVincenzo;SG;25;SAC;25;1;26.6;3.2;8.7;0.362;2.1;5.8;0.368;1.0;3.0;0.351;0.484;1.9;2.2;0.839;0.9;3.5;4.4;3.6;1.5;0.2;1.8;1.7;10.3;2021-2022
141;Luka Don?i?;PG;22;DAL;65;65;35.4;9.9;21.6;0.457;3.1;8.8;0.353;6.8;12.8;0.528;0.529;5.6;7.5;0.744;0.9;8.3;9.1;8.7;1.2;0.6;4.5;2.2;28.4;2021-2022
142;Luguentz Dort;SF;22;OKC;51;51;32.6;5.7;14.2;0.404;2.5;7.7;0.332;3.2;6.6;0.487;0.493;3.2;3.7;0.843;0.7;3.4;4.2;1.7;0.9;0.4;1.7;2.9;17.2;2021-2022
143;Ayo Dosunmu;SG;22;CHI;77;40;27.4;3.6;6.9;0.52;0.9;2.4;0.376;2.7;4.5;0.596;0.585;0.7;1.0;0.679;0.4;2.4;2.8;3.3;0.8;0.4;1.4;2.4;8.8;2021-2022
144;Damyean Dotson;SG;27;NYK;2;0;10.5;1.0;2.0;0.5;0.0;0.5;0.0;1.0;1.5;0.667;0.5;0.0;0.0;0.0;0.0;1.0;1.0;0.5;0.0;0.0;0.0;0.0;2.0;2021-2022
145;Devon Dotson;PG;22;CHI;11;0;7.7;1.0;2.1;0.478;0.2;0.8;0.222;0.8;1.3;0.643;0.522;0.5;0.8;0.556;0.1;0.7;0.8;1.4;0.1;0.0;0.5;1.0;2.6;2021-2022
146;Sekou Doumbouya;PF;21;LAL;2;0;8.0;2.5;4.0;0.625;0.5;1.0;0.5;2.0;3.0;0.667;0.688;1.5;2.0;0.75;1.0;2.0;3.0;0.0;1.5;1.0;1.0;0.5;7.0;2021-2022
147;Jeff Dowtin;PG;24;TOT;9;0;12.0;0.9;2.9;0.308;0.1;1.0;0.111;0.8;1.9;0.412;0.327;0.2;0.2;1.0;0.9;1.1;2.0;1.1;0.6;0.1;0.6;0.6;2.1;2021-2022
147;Jeff Dowtin;PG;24;GSW;4;0;7.0;0.8;1.5;0.5;0.0;0.3;0.0;0.8;1.3;0.6;0.5;0.0;0.0;0.0;0.3;1.5;1.8;0.8;0.0;0.3;0.3;0.5;1.5;2021-2022
147;Jeff Dowtin;PG;24;MIL;1;0;3.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2021-2022
147;Jeff Dowtin;PG;24;ORL;4;0;19.3;1.3;4.8;0.263;0.3;1.8;0.143;1.0;3.0;0.333;0.289;0.5;0.5;1.0;1.8;1.0;2.8;1.8;1.3;0.0;1.0;0.8;3.3;2021-2022
148;PJ Dozier;SG;25;DEN;18;0;18.9;2.0;5.5;0.364;0.8;2.7;0.313;1.2;2.8;0.412;0.439;0.6;0.7;0.769;0.8;2.7;3.5;1.6;0.6;0.3;0.7;1.8;5.4;2021-2022
149;Goran Dragi?;PG;35;TOT;21;8;23.7;2.7;7.2;0.377;0.8;3.0;0.254;2.0;4.2;0.466;0.43;1.3;1.6;0.818;0.6;2.5;3.1;4.1;0.9;0.2;1.6;2.1;7.5;2021-2022
149;Goran Dragi?;PG;35;TOR;5;2;18.0;2.6;6.8;0.382;0.8;2.8;0.286;1.8;4.0;0.45;0.441;2.0;2.0;1.0;0.4;2.4;2.8;1.8;1.0;0.2;0.2;1.6;8.0;2021-2022
149;Goran Dragi?;PG;35;BRK;16;6;25.5;2.8;7.3;0.376;0.8;3.1;0.245;2.0;4.3;0.471;0.427;1.1;1.4;0.739;0.7;2.5;3.2;4.8;0.9;0.2;2.1;2.3;7.3;2021-2022
150;Andre Drummond;C;28;TOT;73;36;19.7;3.4;5.9;0.57;0.0;0.0;0.0;3.4;5.9;0.574;0.57;1.2;2.2;0.524;3.1;6.2;9.3;1.8;1.1;0.9;1.6;2.6;7.9;2021-2022
150;Andre Drummond;C;28;PHI;49;12;18.4;2.6;4.9;0.538;0.0;0.0;0.0;2.6;4.8;0.542;0.538;0.9;1.7;0.512;2.8;6.1;8.8;2.0;1.1;0.9;1.6;2.5;6.1;2021-2022
150;Andre Drummond;C;28;BRK;24;24;22.3;5.0;8.1;0.61;0.0;0.0;0.0;5.0;8.1;0.613;0.61;1.8;3.4;0.537;3.9;6.4;10.3;1.4;0.9;1.0;1.5;3.0;11.8;2021-2022
151;Chris Duarte;SG;24;IND;55;39;28.0;4.9;11.3;0.432;1.7;4.6;0.369;3.2;6.7;0.475;0.507;1.6;2.0;0.804;0.7;3.4;4.1;2.1;1.0;0.2;1.6;1.7;13.1;2021-2022
152;David Duke Jr.;PG;22;BRK;22;7;15.5;1.8;4.9;0.361;0.4;1.7;0.243;1.4;3.2;0.423;0.403;0.8;1.0;0.81;1.4;1.7;3.0;0.8;0.6;0.3;0.4;1.6;4.7;2021-2022
153;Kris Dunn;PG;27;POR;14;3;24.0;3.1;7.3;0.431;0.1;0.8;0.091;3.1;6.5;0.473;0.436;1.2;1.3;0.944;0.6;2.9;3.5;5.6;1.6;0.2;2.3;2.7;7.6;2021-2022
154;Kevin Durant;PF;33;BRK;55;55;37.2;10.5;20.3;0.518;2.1;5.5;0.383;8.4;14.8;0.568;0.57;6.8;7.4;0.91;0.5;6.9;7.4;6.4;0.9;0.9;3.5;2.1;29.9;2021-2022
155;Jaime Echenique;C;24;WAS;1;0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2021-2022
156;Anthony Edwards;SG;20;MIN;72;72;34.3;7.6;17.3;0.441;3.0;8.4;0.357;4.6;8.9;0.519;0.527;3.1;3.9;0.786;0.9;3.9;4.8;3.8;1.5;0.6;2.6;2.3;21.3;2021-2022
157;Carsen Edwards;SG;23;DET;4;0;19.8;2.3;7.5;0.3;1.0;4.0;0.25;1.3;3.5;0.357;0.367;0.3;0.3;1.0;0.5;1.0;1.5;3.5;0.5;0.0;1.3;1.0;5.8;2021-2022
158;Kessler Edwards;SF;21;BRK;48;23;20.6;2.3;5.6;0.412;1.0;2.8;0.353;1.3;2.7;0.473;0.502;0.3;0.4;0.842;0.9;2.7;3.6;0.6;0.6;0.5;0.9;1.8;5.9;2021-2022
159;Rob Edwards;SG;25;OKC;2;0;5.5;0.5;2.0;0.25;0.5;2.0;0.25;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;1.5;1.5;0.0;0.0;0.0;0.5;0.0;1.5;2021-2022
160;CJ Elleby;SF;21;POR;58;28;20.2;2.1;5.3;0.393;0.6;2.2;0.294;1.4;3.1;0.462;0.453;1.0;1.4;0.714;1.1;2.8;3.9;1.5;0.6;0.3;1.0;2.0;5.8;2021-2022
161;Wayne Ellington;SG;34;LAL;43;9;18.8;2.3;5.5;0.414;1.9;4.9;0.389;0.4;0.6;0.615;0.586;0.2;0.3;0.818;0.2;1.6;1.8;0.7;0.5;0.1;0.4;1.0;6.7;2021-2022
162;Joel Embiid;C;27;PHI;68;68;33.8;9.8;19.6;0.499;1.4;3.7;0.371;8.4;15.9;0.529;0.534;9.6;11.8;0.814;2.1;9.6;11.7;4.2;1.1;1.5;3.1;2.7;30.6;2021-2022
163;James Ennis III;SF;31;TOT;7;0;8.0;1.6;3.4;0.458;0.4;1.1;0.375;1.1;2.3;0.5;0.521;0.6;0.7;0.8;0.7;1.0;1.7;0.4;0.3;0.3;0.3;0.7;4.1;2021-2022
163;James Ennis III;SF;31;BRK;2;0;7.0;1.0;3.5;0.286;0.5;1.0;0.5;0.5;2.5;0.2;0.357;0.0;0.0;0.0;1.0;1.5;2.5;0.0;0.5;0.5;0.0;0.0;2.5;2021-2022
163;James Ennis III;SF;31;LAC;2;0;14.0;3.5;5.5;0.636;1.0;2.0;0.5;2.5;3.5;0.714;0.727;2.0;2.0;1.0;1.0;1.5;2.5;0.0;0.5;0.5;0.5;2.0;10.0;2021-2022
163;James Ennis III;SF;31;DEN;3;0;4.7;0.7;2.0;0.333;0.0;0.7;0.0;0.7;1.3;0.5;0.333;0.0;0.3;0.0;0.3;0.3;0.7;1.0;0.0;0.0;0.3;0.3;1.3;2021-2022
164;Drew Eubanks;C;24;TOT;71;31;17.5;3.1;5.2;0.596;0.1;0.3;0.217;3.0;4.9;0.621;0.602;1.4;1.8;0.762;1.8;3.5;5.4;1.2;0.4;0.6;1.1;1.7;7.7;2021-2022
164;Drew Eubanks;C;24;SAS;49;9;12.1;1.7;3.2;0.528;0.0;0.2;0.125;1.7;3.1;0.55;0.531;1.2;1.6;0.747;1.3;2.7;4.0;1.0;0.3;0.6;0.9;1.2;4.7;2021-2022
164;Drew Eubanks;C;24;POR;22;22;29.5;6.2;9.6;0.646;0.2;0.7;0.267;6.0;9.0;0.675;0.656;1.8;2.3;0.784;3.0;5.5;8.5;1.6;0.8;0.5;1.6;2.8;14.5;2021-2022
165;Tacko Fall;C;26;CLE;11;1;5.4;0.5;1.1;0.417;0.0;0.0;0.0;0.5;1.1;0.417;0.417;0.2;0.6;0.286;0.6;1.5;2.1;0.2;0.0;0.5;0.3;0.3;1.1;2021-2022
166;Derrick Favors;C;30;OKC;39;18;16.7;2.4;4.7;0.516;0.1;0.4;0.125;2.4;4.3;0.554;0.522;0.4;0.6;0.64;1.5;3.2;4.7;0.6;0.4;0.3;0.2;1.6;5.3;2021-2022
167;Bruno Fernando;C;23;TOT;30;0;5.1;1.2;1.8;0.655;0.0;0.1;0.5;1.2;1.8;0.66;0.664;0.5;0.8;0.625;0.6;1.2;1.8;0.2;0.0;0.4;0.5;0.8;2.9;2021-2022
167;Bruno Fernando;C;23;BOS;20;0;2.9;0.4;0.7;0.5;0.1;0.1;1.0;0.3;0.7;0.462;0.536;0.2;0.3;0.8;0.4;0.4;0.8;0.2;0.0;0.2;0.3;0.3;1.0;2021-2022
167;Bruno Fernando;C;23;HOU;10;0;9.4;2.9;4.1;0.707;0.0;0.1;0.0;2.9;4.0;0.725;0.707;1.1;1.9;0.579;1.1;2.9;4.0;0.3;0.1;0.8;0.9;1.8;6.9;2021-2022
168;Dorian Finney-Smith;PF;28;DAL;80;80;33.1;4.1;8.7;0.471;2.2;5.4;0.395;1.9;3.2;0.599;0.595;0.7;1.0;0.675;1.5;3.2;4.7;1.9;1.1;0.5;1.0;2.3;11.0;2021-2022
169;Malik Fitts;PF;24;TOT;15;0;4.2;0.5;1.3;0.421;0.3;0.7;0.5;0.2;0.6;0.333;0.553;0.0;0.0;0.0;0.1;1.0;1.1;0.3;0.0;0.0;0.1;0.3;1.4;2021-2022
169;Malik Fitts;PF;24;UTA;7;0;5.0;0.3;1.3;0.222;0.3;0.6;0.5;0.0;0.7;0.0;0.333;0.0;0.0;0.0;0.0;1.4;1.4;0.0;0.0;0.0;0.3;0.4;0.9;2021-2022
169;Malik Fitts;PF;24;BOS;8;0;3.5;0.8;1.3;0.6;0.4;0.8;0.5;0.4;0.5;0.75;0.75;0.0;0.0;0.0;0.3;0.6;0.9;0.6;0.0;0.0;0.0;0.1;1.9;2021-2022
170;Malachi Flynn;PG;23;TOR;44;5;12.2;1.6;4.2;0.393;0.7;2.0;0.333;1.0;2.1;0.452;0.475;0.3;0.5;0.625;0.2;1.2;1.4;1.6;0.5;0.1;0.3;1.0;4.3;2021-2022
171;Bryn Forbes;SG;28;TOT;75;2;17.1;3.1;7.2;0.429;1.6;3.9;0.414;1.5;3.3;0.447;0.542;1.1;1.2;0.908;0.1;1.1;1.2;1.0;0.3;0.1;0.7;1.3;8.8;2021-2022
171;Bryn Forbes;SG;28;SAS;40;1;16.9;3.2;7.4;0.432;1.6;3.8;0.417;1.6;3.6;0.448;0.539;1.1;1.2;0.898;0.1;1.5;1.6;1.0;0.4;0.1;0.8;1.1;9.1;2021-2022
171;Bryn Forbes;SG;28;DEN;35;1;17.4;2.9;6.9;0.424;1.7;4.1;0.41;1.3;2.8;0.444;0.545;1.0;1.1;0.921;0.2;0.7;0.9;1.0;0.2;0.1;0.7;1.5;8.6;2021-2022
172;Aleem Ford;SF;24;ORL;5;0;14.8;1.2;4.0;0.3;0.4;3.0;0.133;0.8;1.0;0.8;0.35;0.0;0.0;0.0;0.4;2.6;3.0;0.4;0.2;0.0;0.8;1.4;2.8;2021-2022
173;Trent Forrest;PG;23;UTA;60;6;12.8;1.3;2.6;0.49;0.1;0.5;0.185;1.2;2.1;0.555;0.506;0.6;0.8;0.792;0.4;1.3;1.7;1.8;0.5;0.1;0.8;0.7;3.3;2021-2022
174;Evan Fournier;SG;29;NYK;80;80;29.5;5.0;12.1;0.417;3.0;7.7;0.389;2.0;4.3;0.465;0.541;1.0;1.4;0.708;0.4;2.2;2.6;2.1;1.0;0.3;1.3;2.3;14.1;2021-2022
175;De'Aaron Fox;PG;24;SAC;59;59;35.3;8.7;18.5;0.473;1.3;4.2;0.297;7.5;14.3;0.524;0.506;4.4;5.9;0.75;0.4;3.5;3.9;5.6;1.2;0.4;2.8;2.9;23.2;2021-2022
176;Melvin Frazier;SG;25;OKC;3;0;40.0;4.3;16.0;0.271;0.3;7.0;0.048;4.0;9.0;0.444;0.281;1.7;2.3;0.714;1.7;2.7;4.3;0.3;0.3;0.0;1.0;2.7;10.7;2021-2022
177;Tim Frazier;PG;31;TOT;12;3;17.3;1.2;3.8;0.311;0.5;1.4;0.353;0.7;2.3;0.286;0.378;0.4;0.8;0.556;0.4;1.2;1.6;2.8;0.3;0.1;1.3;2.3;3.3;2021-2022
177;Tim Frazier;PG;31;ORL;10;3;20.0;1.3;4.3;0.302;0.6;1.7;0.353;0.7;2.6;0.269;0.372;0.5;0.9;0.556;0.5;1.4;1.9;3.3;0.3;0.1;1.3;2.4;3.7;2021-2022
177;Tim Frazier;PG;31;CLE;2;0;4.0;0.5;1.0;0.5;0.0;0.0;0.0;0.5;1.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;1.0;1.5;1.0;2021-2022
178;Enes Freedom;C;29;BOS;35;1;11.7;1.5;2.8;0.526;0.1;0.1;0.4;1.4;2.6;0.533;0.536;0.7;0.8;0.857;1.7;2.8;4.6;0.2;0.1;0.4;0.6;1.2;3.7;2021-2022
179;Markelle Fultz;PG;23;ORL;18;3;20.0;4.6;9.7;0.474;0.2;0.9;0.235;4.4;8.8;0.5;0.486;1.4;1.7;0.806;0.2;2.5;2.7;5.5;1.1;0.3;2.2;1.2;10.8;2021-2022
180;Wenyen Gabriel;PF;24;TOT;26;5;13.8;2.1;4.2;0.491;0.3;1.1;0.286;1.8;3.2;0.561;0.527;1.0;1.6;0.595;1.5;2.2;3.7;0.5;0.2;0.4;0.6;2.6;5.4;2021-2022
180;Wenyen Gabriel;PF;24;BRK;1;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2021-2022
180;Wenyen Gabriel;PF;24;LAC;6;0;7.7;0.8;2.2;0.385;0.3;0.8;0.4;0.5;1.3;0.375;0.462;0.3;0.7;0.5;0.8;1.5;2.3;0.3;0.2;0.3;0.5;1.8;2.3;2021-2022
180;Wenyen Gabriel;PF;24;LAL;19;5;16.4;2.6;5.1;0.505;0.3;1.2;0.261;2.3;3.9;0.581;0.536;1.2;2.0;0.605;1.8;2.5;4.3;0.6;0.2;0.5;0.7;3.0;6.7;2021-2022
181;Daniel Gafford;C;23;WAS;72;53;20.1;4.0;5.7;0.693;0.0;0.0;0.0;4.0;5.7;0.695;0.693;1.5;2.1;0.699;2.2;3.5;5.7;0.9;0.4;1.4;0.9;2.4;9.4;2021-2022
182;Danilo Gallinari;PF;33;ATL;66;18;25.3;3.9;9.0;0.434;1.7;4.5;0.381;2.2;4.6;0.485;0.528;2.1;2.4;0.904;0.5;4.1;4.7;1.5;0.4;0.2;0.6;1.4;11.7;2021-2022
183;Langston Galloway;SG;30;TOT;7;0;15.3;0.9;3.7;0.231;0.3;2.3;0.125;0.6;1.4;0.4;0.269;0.0;0.0;0.0;0.4;2.1;2.6;1.7;0.1;0.0;0.9;1.0;2.0;2021-2022
183;Langston Galloway;SG;30;BRK;4;0;14.5;1.3;3.3;0.385;0.5;2.0;0.25;0.8;1.3;0.6;0.462;0.0;0.0;0.0;0.3;1.8;2.0;1.3;0.0;0.0;1.3;1.3;3.0;2021-2022
183;Langston Galloway;SG;30;MIL;3;0;16.3;0.3;4.3;0.077;0.0;2.7;0.0;0.3;1.7;0.2;0.077;0.0;0.0;0.0;0.7;2.7;3.3;2.3;0.3;0.0;0.3;0.7;0.7;2021-2022
184;Darius Garland;PG;22;CLE;68;68;35.7;8.0;17.3;0.462;2.6;6.7;0.383;5.4;10.6;0.512;0.536;3.2;3.5;0.892;0.6;2.7;3.3;8.6;1.3;0.1;3.6;1.7;21.7;2021-2022
185;Marcus Garrett;SG;23;MIA;12;0;10.7;0.4;1.8;0.238;0.1;0.3;0.25;0.3;1.4;0.235;0.262;0.2;0.4;0.4;0.8;1.2;1.9;0.6;0.4;0.3;0.2;1.3;1.1;2021-2022
186;Usman Garuba;PF;19;HOU;24;2;10.0;0.8;1.8;0.432;0.2;0.8;0.25;0.6;1.0;0.583;0.489;0.2;0.3;0.714;0.9;2.6;3.5;0.7;0.4;0.5;0.3;1.2;2.0;2021-2022
187;Luka Garza;C;23;DET;32;5;12.2;2.1;4.6;0.449;0.5;1.5;0.327;1.6;3.1;0.51;0.503;1.2;1.9;0.623;1.8;1.3;3.1;0.6;0.3;0.2;0.6;1.7;5.8;2021-2022
188;Rudy Gay;PF;35;UTA;55;1;18.9;2.9;6.9;0.414;1.3;3.7;0.345;1.6;3.2;0.494;0.507;1.1;1.4;0.785;1.0;3.4;4.4;1.0;0.5;0.3;0.9;1.7;8.1;2021-2022
189;Paul George;SF;31;LAC;31;31;34.7;8.6;20.5;0.421;2.9;8.3;0.354;5.7;12.2;0.467;0.493;4.1;4.8;0.858;0.4;6.5;6.9;5.7;2.2;0.4;4.1;2.4;24.3;2021-2022
190;Taj Gibson;C;36;NYK;52;4;18.2;1.7;3.2;0.518;0.3;0.7;0.395;1.4;2.5;0.555;0.563;0.8;1.0;0.808;1.7;2.7;4.4;0.6;0.4;0.8;0.5;2.6;4.4;2021-2022
191;Josh Giddey;SG;19;OKC;54;54;31.5;5.2;12.4;0.419;1.0;3.9;0.263;4.2;8.5;0.492;0.461;1.0;1.5;0.709;1.8;6.0;7.8;6.4;0.9;0.4;3.2;1.6;12.5;2021-2022
192;Shai Gilgeous-Alexander;PG;23;OKC;56;56;34.7;8.5;18.8;0.453;1.6;5.3;0.3;6.9;13.5;0.514;0.496;5.9;7.2;0.81;0.7;4.3;5.0;5.9;1.3;0.8;2.8;2.5;24.5;2021-2022
193;Anthony Gill;PF;29;WAS;44;0;10.5;1.4;2.5;0.569;0.3;0.6;0.538;1.1;1.9;0.578;0.633;1.0;1.2;0.808;0.8;1.2;1.9;0.6;0.1;0.3;0.4;1.3;4.1;2021-2022
194;Freddie Gillespie;PF;24;ORL;9;2;13.2;1.0;2.4;0.409;0.0;0.1;0.0;1.0;2.3;0.429;0.409;0.3;0.8;0.429;1.4;2.6;4.0;0.6;0.3;1.0;0.6;2.0;2.3;2021-2022
195;Rudy Gobert;C;29;UTA;66;66;32.1;5.5;7.7;0.713;0.0;0.1;0.0;5.5;7.6;0.718;0.713;4.6;6.7;0.69;3.7;11.0;14.7;1.1;0.7;2.1;1.8;2.7;15.6;2021-2022
